county,office,district,town,precinct,candidate,party,votes,state_election_id
Grand Isle,Governor,,Grand Isle,,Bill. Spaceman. Lee,Liberty Union,23,82051
Addison,Governor,,Granville,,Bill. Spaceman. Lee,Liberty Union,2,82051
Orleans,Governor,,Greensboro,,Bill. Spaceman. Lee,Liberty Union,17,82051
Caledonia,Governor,,Groton,,Bill. Spaceman. Lee,Liberty Union,22,82051
Essex,Governor,,Guildhall,,Bill. Spaceman. Lee,Liberty Union,1,82051
Windham,Governor,,Guilford,,Bill. Spaceman. Lee,Liberty Union,46,82051
Windham,Governor,,Halifax,,Bill. Spaceman. Lee,Liberty Union,21,82051
Addison,Governor,,Hancock,,Bill. Spaceman. Lee,Liberty Union,4,82051
Caledonia,Governor,,Hardwick,,Bill. Spaceman. Lee,Liberty Union,53,82051
Windsor,Governor,,Hartford,Windsor 4-1,Bill. Spaceman. Lee,Liberty Union,29,82051
Windsor,Governor,,Hartford,Windsor 4-2,Bill. Spaceman. Lee,Liberty Union,146,82051
Windsor,Governor,,Hartland,,Bill. Spaceman. Lee,Liberty Union,53,82051
Franklin,Governor,,Highgate,,Bill. Spaceman. Lee,Liberty Union,39,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-1,Bill. Spaceman. Lee,Liberty Union,0,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-2,Bill. Spaceman. Lee,Liberty Union,61,82051
Orleans,Governor,,Holland,,Bill. Spaceman. Lee,Liberty Union,11,82051
Rutland,Governor,,Hubbardton,,Bill. Spaceman. Lee,Liberty Union,10,82051
Chittenden,Governor,,Huntington,,Bill. Spaceman. Lee,Liberty Union,31,82051
Lamoille,Governor,,Hyde Park,,Bill. Spaceman. Lee,Liberty Union,43,82051
Rutland,Governor,,Ira,,Bill. Spaceman. Lee,Liberty Union,12,82051
Orleans,Governor,,Irasburg,,Bill. Spaceman. Lee,Liberty Union,10,82051
Grand Isle,Governor,,Isle La Motte,,Bill. Spaceman. Lee,Liberty Union,10,82051
Windham,Governor,,Jamaica,,Bill. Spaceman. Lee,Liberty Union,24,82051
Orleans,Governor,,Jay,,Bill. Spaceman. Lee,Liberty Union,9,82051
Chittenden,Governor,,Jericho,,Bill. Spaceman. Lee,Liberty Union,59,82051
Lamoille,Governor,,Johnson,,Bill. Spaceman. Lee,Liberty Union,43,82051
Rutland,Governor,,Killington,,Bill. Spaceman. Lee,Liberty Union,23,82051
Caledonia,Governor,,Kirby,,Bill. Spaceman. Lee,Liberty Union,9,82051
Bennington,Governor,,Landgrove,,Bill. Spaceman. Lee,Liberty Union,1,82051
Addison,Governor,,Leicester,,Bill. Spaceman. Lee,Liberty Union,9,82051
Essex,Governor,,Lemington,,Bill. Spaceman. Lee,Liberty Union,1,82051
Addison,Governor,,Lincoln,,Bill. Spaceman. Lee,Liberty Union,25,82051
Windham,Governor,,Londonderry,,Bill. Spaceman. Lee,Liberty Union,22,82051
Orleans,Governor,,Lowell,,Bill. Spaceman. Lee,Liberty Union,21,82051
Windsor,Governor,,Ludlow,,Bill. Spaceman. Lee,Liberty Union,47,82051
Essex,Governor,,Lunenburg,,Bill. Spaceman. Lee,Liberty Union,26,82051
Caledonia,Governor,,Lyndon,,Bill. Spaceman. Lee,Liberty Union,68,82051
Essex,Governor,,Maidstone,,Bill. Spaceman. Lee,Liberty Union,4,82051
Bennington,Governor,,Manchester,,Bill. Spaceman. Lee,Liberty Union,62,82051
Windham,Governor,,Marlboro,,Bill. Spaceman. Lee,Liberty Union,17,82051
Washington,Governor,,Marshfield,,Bill. Spaceman. Lee,Liberty Union,26,82051
Rutland,Governor,,Mendon,,Bill. Spaceman. Lee,Liberty Union,16,82051
Addison,Governor,,Middlebury,,Bill. Spaceman. Lee,Liberty Union,85,82051
Washington,Governor,,Middlesex,,Bill. Spaceman. Lee,Liberty Union,24,82051
Rutland,Governor,,Middletown Springs,,Bill. Spaceman. Lee,Liberty Union,19,82051
Chittenden,Governor,,Milton,Chittenden 10,Bill. Spaceman. Lee,Liberty Union,104,82051
Chittenden,Governor,,Milton,Grand Isle-Chittenden,Bill. Spaceman. Lee,Liberty Union,10,82051
Addison,Governor,,Monkton,,Bill. Spaceman. Lee,Liberty Union,29,82051
Franklin,Governor,,Montgomery,,Bill. Spaceman. Lee,Liberty Union,38,82051
Washington,Governor,,Montpelier,,Bill. Spaceman. Lee,Liberty Union,88,82051
Washington,Governor,,Moretown,,Bill. Spaceman. Lee,Liberty Union,25,82051
Orleans,Governor,,Morgan,,Bill. Spaceman. Lee,Liberty Union,7,82051
Lamoille,Governor,,Morristown,,Bill. Spaceman. Lee,Liberty Union,76,82051
Rutland,Governor,,Mount Holly,,Bill. Spaceman. Lee,Liberty Union,30,82051
Rutland,Governor,,Mount Tabor,,Bill. Spaceman. Lee,Liberty Union,1,82051
Addison,Governor,,New Haven,,Bill. Spaceman. Lee,Liberty Union,26,82051
Caledonia,Governor,,Newark,,Bill. Spaceman. Lee,Liberty Union,8,82051
Orange,Governor,,Newbury,,Bill. Spaceman. Lee,Liberty Union,29,82051
Windham,Governor,,Newfane,,Bill. Spaceman. Lee,Liberty Union,34,82051
Orleans,Governor,,Newport City,,Bill. Spaceman. Lee,Liberty Union,76,82051
Orleans,Governor,,Newport Town,,Bill. Spaceman. Lee,Liberty Union,23,82051
Grand Isle,Governor,,North Hero,,Bill. Spaceman. Lee,Liberty Union,14,82051
Washington,Governor,,Northfield,,Bill. Spaceman. Lee,Liberty Union,42,82051
Essex,Governor,,Norton,,Bill. Spaceman. Lee,Liberty Union,3,82051
Windsor,Governor,,Norwich,,Bill. Spaceman. Lee,Liberty Union,62,82051
Orange,Governor,,Orange,,Bill. Spaceman. Lee,Liberty Union,9,82051
Addison,Governor,,Orwell,,Bill. Spaceman. Lee,Liberty Union,13,82051
Addison,Governor,,Panton,,Bill. Spaceman. Lee,Liberty Union,4,82051
Rutland,Governor,,Pawlet,,Bill. Spaceman. Lee,Liberty Union,22,82051
Caledonia,Governor,,Peacham,,Bill. Spaceman. Lee,Liberty Union,18,82051
Bennington,Governor,,Peru,,Bill. Spaceman. Lee,Liberty Union,3,82051
Rutland,Governor,,Pittsfield,,Bill. Spaceman. Lee,Liberty Union,11,82051
Rutland,Governor,,Pittsford,,Bill. Spaceman. Lee,Liberty Union,44,82051
Washington,Governor,,Plainfield,,Bill. Spaceman. Lee,Liberty Union,16,82051
Windsor,Governor,,Plymouth,,Bill. Spaceman. Lee,Liberty Union,17,82051
Windsor,Governor,,Pomfret,,Bill. Spaceman. Lee,Liberty Union,20,82051
Rutland,Governor,,Poultney,,Bill. Spaceman. Lee,Liberty Union,43,82051
Bennington,Governor,,Pownal,,Bill. Spaceman. Lee,Liberty Union,79,82051
Rutland,Governor,,Proctor,,Bill. Spaceman. Lee,Liberty Union,32,82051
Windham,Governor,,Putney,,Bill. Spaceman. Lee,Liberty Union,51,82051
Orange,Governor,,Randolph,,Bill. Spaceman. Lee,Liberty Union,61,82051
Windsor,Governor,,Reading,,Bill. Spaceman. Lee,Liberty Union,12,82051
Bennington,Governor,,Readsboro,,Bill. Spaceman. Lee,Liberty Union,24,82051
Franklin,Governor,,Richford,,Bill. Spaceman. Lee,Liberty Union,26,82051
Chittenden,Governor,,Richmond,,Bill. Spaceman. Lee,Liberty Union,62,82051
Addison,Governor,,Ripton,,Bill. Spaceman. Lee,Liberty Union,4,82051
Windsor,Governor,,Rochester,,Bill. Spaceman. Lee,Liberty Union,17,82051
Windham,Governor,,Rockingham,,Bill. Spaceman. Lee,Liberty Union,96,82051
Washington,Governor,,Roxbury,,Bill. Spaceman. Lee,Liberty Union,11,82051
Windsor,Governor,,Royalton,,Bill. Spaceman. Lee,Liberty Union,35,82051
Bennington,Governor,,Rupert,,Bill. Spaceman. Lee,Liberty Union,13,82051
Rutland,Governor,,Rutland City,Rutland 5-1,Bill. Spaceman. Lee,Liberty Union,58,82051
Rutland,Governor,,Rutland City,Rutland 5-2,Bill. Spaceman. Lee,Liberty Union,61,82051
Rutland,Governor,,Rutland City,Rutland 5-3,Bill. Spaceman. Lee,Liberty Union,50,82051
Rutland,Governor,,Rutland City,Rutland 5-4,Bill. Spaceman. Lee,Liberty Union,82,82051
Rutland,Governor,,Rutland Town,,Bill. Spaceman. Lee,Liberty Union,42,82051
Caledonia,Governor,,Ryegate,,Bill. Spaceman. Lee,Liberty Union,15,82051
Addison,Governor,,Salisbury,,Bill. Spaceman. Lee,Liberty Union,17,82051
Bennington,Governor,,Sandgate,,Bill. Spaceman. Lee,Liberty Union,6,82051
Bennington,Governor,,Searsburg,,Bill. Spaceman. Lee,Liberty Union,6,82051
Bennington,Governor,,Shaftsbury,,Bill. Spaceman. Lee,Liberty Union,51,82051
Windsor,Governor,,Sharon,,Bill. Spaceman. Lee,Liberty Union,27,82051
Caledonia,Governor,,Sheffield,,Bill. Spaceman. Lee,Liberty Union,18,82051
Chittenden,Governor,,Shelburne,Chittenden 5-1,Bill. Spaceman. Lee,Liberty Union,35,82051
Chittenden,Governor,,Shelburne,Chittenden 5-2,Bill. Spaceman. Lee,Liberty Union,37,82051
Franklin,Governor,,Sheldon,,Bill. Spaceman. Lee,Liberty Union,13,82051
Addison,Governor,,Shoreham,,Bill. Spaceman. Lee,Liberty Union,14,82051
Rutland,Governor,,Shrewsbury,,Bill. Spaceman. Lee,Liberty Union,22,82051
Chittenden,Governor,,South Burlington,Chittenden 7-1,Bill. Spaceman. Lee,Liberty Union,34,82051
Chittenden,Governor,,South Burlington,Chittenden 7-2,Bill. Spaceman. Lee,Liberty Union,45,82051
Chittenden,Governor,,South Burlington,Chittenden 7-3,Bill. Spaceman. Lee,Liberty Union,49,82051
Chittenden,Governor,,South Burlington,Chittenden 7-4,Bill. Spaceman. Lee,Liberty Union,57,82051
Grand Isle,Governor,,South Hero,,Bill. Spaceman. Lee,Liberty Union,21,82051
Windsor,Governor,,Springfield,Windsor 3-1,Bill. Spaceman. Lee,Liberty Union,8,82051
Windsor,Governor,,Springfield,Windsor 3-2,Bill. Spaceman. Lee,Liberty Union,171,82051
Franklin,Governor,,Saint Albans City,,Bill. Spaceman. Lee,Liberty Union,65,82051
Franklin,Governor,,Saint Albans Town,Franklin 3-1,Bill. Spaceman. Lee,Liberty Union,21,82051
Franklin,Governor,,Saint Albans Town,Franklin 3-2,Bill. Spaceman. Lee,Liberty Union,46,82051
Chittenden,Governor,,Saint George,,Bill. Spaceman. Lee,Liberty Union,10,82051
Caledonia,Governor,,Saint Johnsbury,,Bill. Spaceman. Lee,Liberty Union,108,82051
Bennington,Governor,,Stamford,,Bill. Spaceman. Lee,Liberty Union,21,82051
Caledonia,Governor,,Stannard,,Bill. Spaceman. Lee,Liberty Union,8,82051
Addison,Governor,,Starksboro,,Bill. Spaceman. Lee,Liberty Union,23,82051
Windsor,Governor,,Stockbridge,,Bill. Spaceman. Lee,Liberty Union,24,82051
Lamoille,Governor,,Stowe,,Bill. Spaceman. Lee,Liberty Union,1,82051
Orange,Governor,,Strafford,,Bill. Spaceman. Lee,Liberty Union,18,82051
Windham,Governor,,Stratton,,Bill. Spaceman. Lee,Liberty Union,5,82051
Rutland,Governor,,Sudbury,,Bill. Spaceman. Lee,Liberty Union,10,82051
Bennington,Governor,,Sunderland,Bennington 3,Bill. Spaceman. Lee,Liberty Union,2,82051
Bennington,Governor,,Sunderland,Bennington 4,Bill. Spaceman. Lee,Liberty Union,9,82051
Caledonia,Governor,,Sutton,,Bill. Spaceman. Lee,Liberty Union,15,82051
Franklin,Governor,,Swanton,,Bill. Spaceman. Lee,Liberty Union,82,82051
Orange,Governor,,Thetford,,Bill. Spaceman. Lee,Liberty Union,37,82051
Rutland,Governor,,Tinmouth,Rutland 2,Bill. Spaceman. Lee,Liberty Union,8,82051
Rutland,Governor,,Tinmouth,Rutland-Bennington,Bill. Spaceman. Lee,Liberty Union,3,82051
Orange,Governor,,Topsham,,Bill. Spaceman. Lee,Liberty Union,13,82051
Windham,Governor,,Townshend,,Bill. Spaceman. Lee,Liberty Union,56,82051
Orleans,Governor,,Troy,Orleans 2,Bill. Spaceman. Lee,Liberty Union,5,82051
Orleans,Governor,,Troy,Orleans-Lamoille,Bill. Spaceman. Lee,Liberty Union,19,82051
Orange,Governor,,Tunbridge,,Bill. Spaceman. Lee,Liberty Union,17,82051
Chittenden,Governor,,Underhill,,Bill. Spaceman. Lee,Liberty Union,37,82051
Addison,Governor,,Vergennes,,Bill. Spaceman. Lee,Liberty Union,33,82051
Windham,Governor,,Vernon,,Bill. Spaceman. Lee,Liberty Union,45,82051
Orange,Governor,,Vershire,,Bill. Spaceman. Lee,Liberty Union,9,82051
Essex,Governor,,Victory,,Bill. Spaceman. Lee,Liberty Union,1,82051
Washington,Governor,,Waitsfield,,Bill. Spaceman. Lee,Liberty Union,25,82051
Caledonia,Governor,,Walden,,Bill. Spaceman. Lee,Liberty Union,14,82051
Rutland,Governor,,Wallingford,,Bill. Spaceman. Lee,Liberty Union,42,82051
Addison,Governor,,Waltham,,Bill. Spaceman. Lee,Liberty Union,10,82051
Windham,Governor,,Wardsboro,,Bill. Spaceman. Lee,Liberty Union,18,82051
Washington,Governor,,Warren,,Bill. Spaceman. Lee,Liberty Union,31,82051
Orange,Governor,,Washington,,Bill. Spaceman. Lee,Liberty Union,13,82051
Washington,Governor,,Waterbury,,Bill. Spaceman. Lee,Liberty Union,46,82051
Caledonia,Governor,,Waterford,,Bill. Spaceman. Lee,Liberty Union,20,82051
Lamoille,Governor,,Waterville,,Bill. Spaceman. Lee,Liberty Union,10,82051
Windsor,Governor,,Weathersfield,,Bill. Spaceman. Lee,Liberty Union,54,82051
Rutland,Governor,,Wells,,Bill. Spaceman. Lee,Liberty Union,17,82051
Orange,Governor,,West Fairlee,,Bill. Spaceman. Lee,Liberty Union,8,82051
Rutland,Governor,,West Haven,,Bill. Spaceman. Lee,Liberty Union,2,82051
Rutland,Governor,,West Rutland,,Bill. Spaceman. Lee,Liberty Union,39,82051
Windsor,Governor,,West Windsor,,Bill. Spaceman. Lee,Liberty Union,20,82051
Orleans,Governor,,Westfield,,Bill. Spaceman. Lee,Liberty Union,10,82051
Chittenden,Governor,,Westford,,Bill. Spaceman. Lee,Liberty Union,35,82051
Windham,Governor,,Westminster,Windham 3,Bill. Spaceman. Lee,Liberty Union,1,82051
Windham,Governor,,Westminster,Windham 4,Bill. Spaceman. Lee,Liberty Union,70,82051
Orleans,Governor,,Westmore,,Bill. Spaceman. Lee,Liberty Union,11,82051
Windsor,Governor,,Weston,,Bill. Spaceman. Lee,Liberty Union,21,82051
Addison,Governor,,Weybridge,,Bill. Spaceman. Lee,Liberty Union,6,82051
Caledonia,Governor,,Wheelock,,Bill. Spaceman. Lee,Liberty Union,12,82051
Addison,Governor,,Whiting,,Bill. Spaceman. Lee,Liberty Union,9,82051
Windham,Governor,,Whitingham,Windham 6,Bill. Spaceman. Lee,Liberty Union,27,82051
Windham,Governor,,Whitingham,Windham-Bennington,Bill. Spaceman. Lee,Liberty Union,0,82051
Orange,Governor,,Williamstown,,Bill. Spaceman. Lee,Liberty Union,31,82051
Chittenden,Governor,,Williston,,Bill. Spaceman. Lee,Liberty Union,93,82051
Windham,Governor,,Wilmington,,Bill. Spaceman. Lee,Liberty Union,42,82051
Windham,Governor,,Windham,,Bill. Spaceman. Lee,Liberty Union,12,82051
Windsor,Governor,,Windsor,,Bill. Spaceman. Lee,Liberty Union,92,82051
Bennington,Governor,,Winhall,,Bill. Spaceman. Lee,Liberty Union,17,82051
Chittenden,Governor,,Winooski,,Bill. Spaceman. Lee,Liberty Union,90,82051
Lamoille,Governor,,Wolcott,,Bill. Spaceman. Lee,Liberty Union,29,82051
Washington,Governor,,Woodbury,,Bill. Spaceman. Lee,Liberty Union,23,82051
Bennington,Governor,,Woodford,,Bill. Spaceman. Lee,Liberty Union,10,82051
Windsor,Governor,,Woodstock,,Bill. Spaceman. Lee,Liberty Union,54,82051
Washington,Governor,,Worcester,,Bill. Spaceman. Lee,Liberty Union,15,82051
Addison,Governor,,Addison,,Write-ins,,0,82051
Orleans,Governor,,Albany,,Write-ins,,1,82051
Grand Isle,Governor,,Alburgh,,Write-ins,,0,82051
Windsor,Governor,,Andover,,Write-ins,,0,82051
Bennington,Governor,,Arlington,,Write-ins,,0,82051
Windham,Governor,,Athens,,Write-ins,,1,82051
Franklin,Governor,,Bakersfield,,Write-ins,,0,82051
Windsor,Governor,,Baltimore,,Write-ins,,0,82051
Windsor,Governor,,Barnard,,Write-ins,,0,82051
Caledonia,Governor,,Barnet,,Write-ins,,2,82051
Washington,Governor,,Barre City,,Write-ins,,3,82051
Washington,Governor,,Barre Town,,Write-ins,,3,82051
Orleans,Governor,,Barton,,Write-ins,,1,82051
Lamoille,Governor,,Belvidere,,Write-ins,,0,82051
Bennington,Governor,,Bennington,Bennington 2-1,Write-ins,,4,82051
Bennington,Governor,,Bennington,Bennington 2-2,Write-ins,,2,82051
Rutland,Governor,,Benson,,Write-ins,,1,82051
Franklin,Governor,,Berkshire,,Write-ins,,0,82051
Washington,Governor,,Berlin,,Write-ins,,0,82051
Windsor,Governor,,Bethel,,Write-ins,,1,82051
Essex,Governor,,Bloomfield,,Write-ins,,3,82051
Chittenden,Governor,,Bolton,,Write-ins,,0,82051
Orange,Governor,,Bradford,,Write-ins,,2,82051
Orange,Governor,,Braintree,,Write-ins,,0,82051
Rutland,Governor,,Brandon,,Write-ins,,1,82051
Windham,Governor,,Brattleboro,Windham 2-1,Write-ins,,3,82051
Windham,Governor,,Brattleboro,Windham 2-2,Write-ins,,2,82051
Windham,Governor,,Brattleboro,Windham 2-3,Write-ins,,1,82051
Windsor,Governor,,Bridgewater,,Write-ins,,1,82051
Addison,Governor,,Bridport,,Write-ins,,0,82051
Essex,Governor,,Brighton,,Write-ins,,1,82051
Addison,Governor,,Bristol,,Write-ins,,1,82051
Orange,Governor,,Brookfield,,Write-ins,,1,82051
Windham,Governor,,Brookline,,Write-ins,,0,82051
Orleans,Governor,,Brownington,,Write-ins,,0,82051
Essex,Governor,,Brunswick,,Write-ins,,0,82051
Caledonia,Governor,,Burke,,Write-ins,,1,82051
Chittenden,Governor,,Burlington,Chittenden 6-1,Write-ins,,7,82051
Chittenden,Governor,,Burlington,Chittenden 6-2,Write-ins,,2,82051
Chittenden,Governor,,Burlington,Chittenden 6-3,Write-ins,,8,82051
Chittenden,Governor,,Burlington,Chittenden 6-4,Write-ins,,0,82051
Chittenden,Governor,,Burlington,Chittenden 6-5,Write-ins,,9,82051
Chittenden,Governor,,Burlington,Chittenden 6-6,Write-ins,,2,82051
Chittenden,Governor,,Burlington,Chittenden 6-7,Write-ins,,1,82051
Washington,Governor,,Cabot,,Write-ins,,0,82051
Washington,Governor,,Calais,,Write-ins,,1,82051
Lamoille,Governor,,Cambridge,,Write-ins,,2,82051
Essex,Governor,,Canaan,,Write-ins,,0,82051
Rutland,Governor,,Castleton,,Write-ins,,0,82051
Windsor,Governor,,Cavendish,,Write-ins,,0,82051
Orleans,Governor,,Charleston,,Write-ins,,0,82051
Chittenden,Governor,,Charlotte,,Write-ins,,1,82051
Orange,Governor,,Chelsea,,Write-ins,,0,82051
Windsor,Governor,,Chester,,Write-ins,,2,82051
Rutland,Governor,,Chittenden,,Write-ins,,2,82051
Rutland,Governor,,Clarendon,,Write-ins,,0,82051
Chittenden,Governor,,Colchester,Chittenden 9-1,Write-ins,,5,82051
Chittenden,Governor,,Colchester,Chittenden 9-2,Write-ins,,6,82051
Essex,Governor,,Concord,,Write-ins,,0,82051
Orange,Governor,,Corinth,,Write-ins,,1,82051
Addison,Governor,,Cornwall,,Write-ins,,1,82051
Orleans,Governor,,Coventry,,Write-ins,,0,82051
Orleans,Governor,,Craftsbury,,Write-ins,,0,82051
Rutland,Governor,,Danby,,Write-ins,,0,82051
Caledonia,Governor,,Danville,,Write-ins,,1,82051
Orleans,Governor,,Derby,,Write-ins,,2,82051
Bennington,Governor,,Dorset,,Write-ins,,0,82051
Windham,Governor,,Dover,,Write-ins,,0,82051
Windham,Governor,,Dummerston,,Write-ins,,2,82051
Washington,Governor,,Duxbury,,Write-ins,,0,82051
Essex,Governor,,East Haven,,Write-ins,,0,82051
Washington,Governor,,East Montpelier,,Write-ins,,2,82051
Lamoille,Governor,,Eden,,Write-ins,,0,82051
Lamoille,Governor,,Elmore,,Write-ins,,0,82051
Franklin,Governor,,Enosburgh,,Write-ins,,0,82051
Chittenden,Governor,,Essex,Chittenden 8-1,Write-ins,,5,82051
Chittenden,Governor,,Essex,Chittenden 8-2,Write-ins,,5,82051
Chittenden,Governor,,Essex,Chittenden 8-3,Write-ins,,1,82051
Rutland,Governor,,Fair Haven,,Write-ins,,2,82051
Franklin,Governor,,Fairfax,,Write-ins,,3,82051
Franklin,Governor,,Fairfield,,Write-ins,,0,82051
Orange,Governor,,Fairlee,,Write-ins,,0,82051
Washington,Governor,,Fayston,,Write-ins,,1,82051
Addison,Governor,,Ferrisburgh,,Write-ins,,1,82051
Franklin,Governor,,Fletcher,,Write-ins,,0,82051
Franklin,Governor,,Franklin,,Write-ins,,0,82051
Franklin,Governor,,Georgia,,Write-ins,,2,82051
Orleans,Governor,,Glover,,Write-ins,,1,82051
Addison,Governor,,Goshen,,Write-ins,,0,82051
Windham,Governor,,Grafton,,Write-ins,,1,82051
Essex,Governor,,Granby,,Write-ins,,0,82051
Grand Isle,Governor,,Grand Isle,,Write-ins,,1,82051
Addison,Governor,,Granville,,Write-ins,,1,82051
Orleans,Governor,,Greensboro,,Write-ins,,0,82051
Caledonia,Governor,,Groton,,Write-ins,,0,82051
Essex,Governor,,Guildhall,,Write-ins,,0,82051
Windham,Governor,,Guilford,,Write-ins,,1,82051
Windham,Governor,,Halifax,,Write-ins,,0,82051
Addison,Governor,,Hancock,,Write-ins,,0,82051
Caledonia,Governor,,Hardwick,,Write-ins,,1,82051
Windsor,Governor,,Hartford,Windsor 4-1,Write-ins,,0,82051
Windsor,Governor,,Hartford,Windsor 4-2,Write-ins,,8,82051
Windsor,Governor,,Hartland,,Write-ins,,3,82051
Franklin,Governor,,Highgate,,Write-ins,,1,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-1,Write-ins,,0,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-2,Write-ins,,2,82051
Orleans,Governor,,Holland,,Write-ins,,0,82051
Rutland,Governor,,Hubbardton,,Write-ins,,1,82051
Chittenden,Governor,,Huntington,,Write-ins,,1,82051
Lamoille,Governor,,Hyde Park,,Write-ins,,1,82051
Rutland,Governor,,Ira,,Write-ins,,0,82051
